English,Russian
you,ты
the,то
and,и
that,тот
what,Какие
this,это
for,за
have,имеют
your,ваш
was,был
not,нет
are,являются
don,Дон
re,решающее значение
know,знать
can,может
with,с участием
but,но
all,все
just,просто
there,там
here,здесь
they,Oни
like,как
ll,линять
get,получить
she,она
right,правильно
out,вне
about,о
him,его
now,в настоящее время
one,один
come,приходить
well,Что ж
her,ей
how,как
yeah,Ага
ve,ведущий
will,будет
got,получил
want,хотеть
think,считать
see,видеть
did,сделал
good,хорошо
who,ВОЗ
why,Зачем
from,от
let,позволять
his,его
yes,да
when,когда
going,идущий
time,время
okay,Ладно
back,назад
look,Посмотрите
would,было бы
them,их
where,где
were,мы
take,брать
then,тогда
had,имел
been,был
our,наш
gonna,собираюсь
tell,рассказать
really,В самом деле
man,человек
some,немного
say,сказать
hey,Привет
could,мог
didn,садится
need,необходимость
something,что-то
has,имеет
too,слишком
more,более
way,способ
down,вниз
make,сделать
very,очень
never,никогда
only,Только
people,люди
over,над
because,так как
little,маленький
please,пожалуйста
love,любовь
should,должен
mean,значит
said,сказал
sorry,Извините
give,давать
off,выключенный
thank,благодарить
any,любой
two,два
even,четное
much,много
doing,делает
sure,Конечно
thing,вещь
these,эти
help,помощь
first,первый
into,в
anything,что-либо
still,все еще
find,найти
life,жизнь
nothing,ничего такого
sir,сэр
day,день
god,Бог
work,Работа
their,их
again,снова
maybe,может быть
must,должен
before,до
other,разное
wait,ждать
stop,останавливаться
call,вызов
after,после
won,выиграл
talk,говорить
away,прочь
than,чем
thought,мысль
home,домой
night,ночь
put,ставить
great,отличный
those,те
last,последний
better,лучше
everything,все
told,сказал
mr.,Мистер.
new,новый
things,вещи
always,всегда
keep,хранить
long,длинная
years,годы
leave,уехать
does,делает
money,Деньги
around,вокруг
doesn,неразрешительный
name,название
place,место
ever,Когда-либо
feel,Чувствовать
guys,ребята
father,отец
guy,парень
made,сделал
old,Старый
isn,ИЗН
which,который
big,большой
lot,много
done,Выполнено
hello,Привет
nice,Ницца
believe,полагать
girl,девочка
someone,кто то
fine,отлично
thanks,Благодарность
wanted,хотел
kind,своего рода
coming,приходящий
house,дом
every,каждый
through,через
being,существование
course,курс
stay,остаться
left,левый
dad,папа
enough,достаточно
happened,случилось
came,пришел
may,мая
mother,мама
wrong,неправильный
world,Мир
bad,плохой
might,мог бы
three,три
today,сегодня
listen,Слушать
another,Другая
understand,понимать
hear,слышать
remember,Помните
ask,просить
own,своя
same,такой же
show,показывать
else,еще
kill,убийство
talking,разговор
found,нашел
next,следующий
getting,получающий
care,забота
car,машина
looking,Ищу
son,сын
try,пытаться
woman,женщина
went,шел
dead,мертвых
many,многие
mind,разум
wasn,Разве
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
yourself,себя
job,работа
saw,увидел
family,семья
real,настоящий
without,без
baby,младенец
room,номер
wouldn,быстрый
already,уже
move,переехать
most,самый
seen,видимый
live,реальный
miss,Мисс
actually,фактически
huh,Хм
shit,дерьмо
both,оба
heard,слышал
once,однажды
ready,готов
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,Блядь
brother,родной брат
also,также
pretty,симпатичный
bit,немного
took,взял
haven,выступ
yet,пока что
men,люди
whole,все
start,Начало
use,использовать
while,пока
since,поскольку
wife,жена
days,дни
guess,предполагать
tomorrow,завтра
matter,иметь значение
meet,встретиться
bring,приносить
tonight,сегодня вечером
everyone,все
run,бегать
wanna,хочу
hard,жесткий
alone,в одиночестве
myself,сам
school,школа
gone,ушел
end,конец
saying,говорить
phone,Телефон
play,играть в
looks,выглядит
couldn,не могло
fucking,чертовски
problem,проблема
few,немного
friends,друзья
gotta,надоедорос
ago,тому назад
open,открыть
anyone,кто-нибудь
killed,погибший
hope,надеяться
face,лицо
until,до того как
lost,потерял
police,полиция
excuse,извинение
turn,повернуть
business,бизнес
case,кейс
wants,хочет
says,говорит
TRUE,ИСТИННЫЙ
die,умри
heart,сердце
soon,скоро
each,каждый
worry,волноваться
later,позже
year,год
watch,смотреть
music,Музыка
hand,рука
having,иметь
probably,наверное
beautiful,красивая
doctor,врач
sit,сидеть
eat,есть
thinking,думать
young,молодой
second,второй
working,работающий
water,вода
person,человек
part,часть
kids,Дети
late,поздно
stuff,вещи
exactly,точно
under,под
death,смерть
minute,минута
pay,платить
crazy,сумасшедший
forget,забывать
everybody,все
